index,input_path,found,percent,debug_quad,debug_warp,debug_mask,elapsed_ms
1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/1.png",1,74,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/1_1_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/1_1_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/1_1_debug_mask.png",41
2,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/10.png",1,89,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/2_10_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/2_10_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/2_10_debug_mask.png",32
3,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/2.png",1,87,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/3_2_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/3_2_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/3_2_debug_mask.png",40
4,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/3.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/4_3_debug_mask.png",17
5,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/4.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/5_4_debug_mask.png",14
6,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/5.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/6_5_debug_mask.png",14
7,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/6.png",1,82,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/7_6_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/7_6_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/7_6_debug_mask.png",36
8,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/7.png",1,98,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/8_7_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/8_7_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/8_7_debug_mask.png",36
9,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/8.png",1,96,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/9_8_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/9_8_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/9_8_debug_mask.png",34
10,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/9.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-113208/10_9_debug_mask.png",16
